,xAxis,legend,destination,booking_days,Cluster
0,Apr,2023,Ajaccio,3.0,Corse
1,Apr,2023,Algarve,7.0,Portugal
2,Apr,2023,Cap Ferret,27.0,Sud-Ouest
3,Apr,2023,Comporta,39.0,Portugal
4,Apr,2023,Courchevel 1550 Le Village,38.0,Alpes LC
5,Apr,2023,Courchevel 1650 Moriond,7.0,Alpes LC
6,Apr,2023,Courchevel 1850,35.0,Alpes LC
7,Apr,2023,Deauville,20.0,ROF
8,Apr,2023,Eygalières & environs,5.0,Provence
9,Apr,2023,Gordes & alentours,11.0,Provence
10,Apr,2023,Guéthary & environs,7.0,Sud-Ouest
11,Apr,2023,Ile Maurice,1.0,ROF
12,Apr,2023,La Croix-Valmer,3.0,French Riviera
13,Apr,2023,La Manche,14.0,ROF
14,Apr,2023,Le Salento,10.0,Italie
15,Apr,2023,Lourmarin & alentours,7.0,Provence
16,Apr,2023,Marrakech,26.0,ROW
17,Apr,2023,Maussane-les-Alpilles et alentours,7.0,Provence
18,Apr,2023,Megève,13.0,Alpes LC
19,Apr,2023,Mykonos,7.0,Grèce
20,Apr,2023,Méribel,29.0,Alpes LC
21,Apr,2023,Oppède,14.0,Provence
22,Apr,2023,Paris,27.0,ROF
23,Apr,2023,Propriano,2.0,Corse
24,Apr,2023,Province de Bari,4.0,Italie
25,Apr,2023,Province de Pise,7.0,Italie
26,Apr,2023,Province de Sienne,7.0,Italie
27,Apr,2023,Pérouse,5.0,Italie
28,Apr,2023,Région de Porto-Vecchio,20.0,Corse
29,Apr,2023,Saint-Barthélémy,20.0,ROW
30,Apr,2023,Saint-Jean-de-Luz,2.0,Sud-Ouest
31,Apr,2023,Saint-Rémy-de-Provence & environs,14.0,Provence
32,Apr,2023,Sardaigne,16.0,Italie
33,Apr,2023,Trouville,23.0,ROF
34,Apr,2023,Val d'Isère,7.0,Alpes LC
35,Aug,2023,Aix-en-Provence & environs,35.0,Provence
36,Aug,2023,Ajaccio,68.0,Corse
37,Aug,2023,Algarve,65.0,Portugal
38,Aug,2023,Anglet,14.0,Sud-Ouest
39,Aug,2023,Antiparos,39.0,Grèce
40,Aug,2023,Arcachon,14.0,Sud-Ouest
41,Aug,2023,Arles & la Camargue,13.0,Provence
42,Aug,2023,Athènes Riviera,7.0,Grèce
43,Aug,2023,Avignon,14.0,Provence
44,Aug,2023,Bandol,12.0,French Riviera
45,Aug,2023,Bidart et environs,13.0,Sud-Ouest
46,Aug,2023,Biscarrosse,7.0,ROF
47,Aug,2023,Bonifacio,11.0,Corse
48,Aug,2023,Bormes-les-Mimosas,7.0,French Riviera
49,Aug,2023,Calvi,49.0,Corse
50,Aug,2023,Cap Corse,7.0,Corse
51,Aug,2023,Cap Ferret,470.0,Sud-Ouest
52,Aug,2023,Capri & Anacapri,6.0,Italie
53,Aug,2023,Cassis,21.0,Provence
54,Aug,2023,Chamonix,11.0,Alpes LC
55,Aug,2023,Comporta,197.0,Portugal
